N,P,K,temperature,humidity,ph,rainfall,label
93.77,28.77,53.03,27.38,92.29,6.57,24.74,muskmelon
100.33,25.16,47.66,25.56,88.49,6.61,47.62,watermelon
27.0,55.21,49.82,28.86,92.68,6.81,180.21,papaya
57.01,64.21,52.04,31.87,91.14,6.47,131.2,papaya
3.32,136.17,194.21,21.76,92.36,6.11,113.52,apple
31.69,26.22,33.55,33.11,52.04,6.13,100.2,mango
26.56,143.3,202.47,21.77,90.07,6.59,126.68,apple
14.23,39.28,20.7,23.73,52.59,6.49,71.5,mothbeans
27.7,44.14,21.64,28.16,88.95,6.41,56.1,mungbean
23.57,63.91,19.3,25.74,68.53,6.01,45.49,lentil
47.33,55.67,20.78,27.03,64.01,6.95,65.46,blackgram
27.62,23.13,28.55,26.93,96.98,6.06,164.61,coconut
35.03,24.38,43.65,20.73,90.45,6.41,109.51,pomegranate
102.78,58.87,41.17,26.14,68.87,5.8,169.13,jute
28.28,17.49,29.62,28.1,93.97,5.79,198.72,coconut
35.52,22.73,47.55,21.16,93.68,6.24,113.54,pomegranate
22.48,118.13,200.08,22.2,89.38,6.16,105.52,apple
83.74,55.17,16.98,26.26,67.1,5.99,84.3,maize
36.73,53.72,50.55,37.04,92.7,6.79,127.31,papaya
102.39,15.45,50.04,28.79,92.31,6.68,25.25,muskmelon
81.08,26.62,34.43,24.08,60.4,7.58,182.9,coffee
43.53,62.79,50.05,30.76,93.27,6.66,178.5,papaya
15.83,11.78,9.43,24.6,92.86,7.2,112.98,orange
63.85,59.98,47.92,39.1,92.52,6.75,81.86,papaya
49.53,77.58,95.72,20.64,18.11,6.28,67.99,chickpea
72.55,47.17,41.45,25.67,75.28,5.75,163.54,jute
25.34,50.99,24.64,28.9,83.72,6.07,43.04,mungbean
25.09,20.16,8.82,35.85,92.08,6.85,108.27,orange
26.47,66.88,21.09,16.2,56.82,5.83,143.33,pigeonpeas
110.54,43.11,37.66,24.4,86.28,5.94,330.0,rice
23.34,14.19,46.1,23.47,85.13,6.62,105.95,pomegranate
29.8,48.27,19.72,25.4,46.75,5.52,33.58,mothbeans
75.12,48.64,39.47,25.25,83.4,5.71,174.2,jute
39.1,70.75,19.18,19.72,65.98,6.56,41.84,lentil
82.46,47.16,36.76,25.87,83.72,5.83,183.84,jute
36.35,57.06,25.09,31.17,63.77,7.25,60.14,blackgram
88.02,48.13,45.44,24.56,75.5,6.1,166.56,jute
30.81,51.69,85.71,20.1,19.94,5.79,83.73,chickpea
35.71,63.17,78.71,18.92,14.74,6.54,80.62,chickpea
28.58,69.02,19.44,21.11,18.6,5.65,83.71,kidneybeans
48.66,51.75,52.64,27.92,92.33,6.79,216.06,papaya
37.31,27.91,43.31,31.6,49.39,5.79,94.38,mango
41.88,63.4,19.35,26.22,64.45,6.68,67.7,blackgram
63.07,46.89,17.53,20.02,65.9,6.77,96.48,maize
30.2,54.41,22.15,29.81,81.63,6.53,62.36,mungbean
68.97,34.04,20.97,28.11,64.97,6.56,86.02,maize
22.84,69.3,19.89,25.48,44.3,5.96,104.48,pigeonpeas
25.09,18.25,28.4,28.73,93.92,5.67,167.65,coconut
93.54,21.41,51.29,29.72,91.85,6.17,26.58,muskmelon
77.52,47.03,21.55,22.9,58.32,6.39,92.63,maize
